observed_at,bar_start,bar_end,bar_timeframe,pair,close,buy_volume,sell_volume,volume,delta,delta_direction,speed_score,prior_speed_score,speed_change_pct,speed_change_ratio,speed_lifecycle,eligible_for_paper_entry,flow_ready,flow_reason,record_type,source_event_key,delta_norm
2026-08-12T21:40:20.081907+00:00,1786570500,1786570800,5m,SOL/USD,75.57,87.29396152,5.259563239999999,92.55352476,82.03439827999999,UP,0.88634547946956,0.6083031111059177,45.70786558335217,1.4570786558335216,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,SOL/USD|5m|1786570500,0.88634548
2026-08-12T21:40:20.081926+00:00,1786570500,1786570800,5m,BTC/USD,63444.4,0.3737678100000002,2.0409404099999997,2.41470822,-1.6671725999999996,DOWN,0.6904240380645242,0.4232297750624613,63.13219880681357,1.6313219880681358,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,BTC/USD|5m|1786570500,0.69042404
2026-08-12T21:40:35.099547+00:00,1786570500,1786570800,5m,ETH/USD,1877.91,46.7308313,0.78177971,47.51261101,45.949051589999996,UP,0.9670916965672351,0.38439456826013296,151.5882836077879,2.515882836077879,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,ETH/USD|5m|1786570500,0.9670917
2026-08-12T21:45:50.248845+00:00,1786570800,1786571100,5m,XRP/USD,1.00581,21171.89541867,489.34137312999997,21661.2367918,20682.55404554,UP,0.9548187042288145,0.37855375775900674,152.22803489819458,2.522280348981946,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,XRP/USD|5m|1786570800,0.9548187
2026-08-12T21:45:50.248862+00:00,1786570800,1786571100,5m,ADA/USD,0.181379,43987.51502443,5861.240039869999,49848.7550643,38126.274984560005,UP,0.7648390603813646,0.3306632230686654,131.30454402621558,2.313045440262156,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,ADA/USD|5m|1786570800,0.76483906
2026-08-12T21:45:50.248878+00:00,1786570800,1786571100,5m,DOGE/USD,0.0696892,2902258.012675799,79095.99651406001,2981354.00918986,2823162.016161739,UP,0.9469395474202316,0.6643802666077014,42.529752163661676,1.4252975216366168,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,DOGE/USD|5m|1786570800,0.94693955
2026-08-12T21:45:50.248910+00:00,1786570800,1786571100,5m,AVAX/USD,6.352,0.0,4.7509,4.7509,-4.7509,DOWN,1.0,0.3263303091970815,206.4379776614827,3.064379776614827,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,AVAX/USD|5m|1786570800,1.0
2026-08-12T21:46:05.259690+00:00,1786570800,1786571100,5m,DOT/USD,0.7749,19.36249554,3.91187543,23.27437097,15.450620110000001,UP,0.6638469469235242,0.33311120339122996,99.28688683095844,1.9928688683095843,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,DOT/USD|5m|1786570800,0.66384695
2026-08-12T21:46:05.259706+00:00,1786570800,1786571100,5m,AAVE/USD,88.1,3.1235,0.0,3.1235,3.1235,UP,1.0,0.5006569814483166,99.73755226725649,1.997375522672565,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,AAVE/USD|5m|1786570800,1.0
2026-08-12T21:46:05.259720+00:00,1786570800,1786571100,5m,LTC/USD,44.8,41.94090254,4.655463510000001,46.59636605,37.285439030000006,UP,0.8001791167575396,0.5197256480865926,53.9618296121149,1.539618296121149,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,LTC/USD|5m|1786570800,0.80017912
