strategy,entry_timeframe,buffer_atr,cost_pct,raw_candidates,overlap_skipped,selected,win_pct,avg_net_pnl_usd,median_net_pnl_usd,profit_factor,max_drawdown_usd,stop_pct
PULSE,15m,0.0,0.0,2289,2223,66,51.515151515151516,5.997743304893211,2.0632572716950923,1.6893330531071105,127.89162516525028,25.757575757575758
PULSE,15m,0.0,0.01,2289,2223,66,51.515151515151516,4.127538975881641,1.3444432945854303,1.4362095257814183,154.93731191236807,25.757575757575758
PULSE,15m,0.0,0.02,2289,2223,66,51.515151515151516,2.25733464687007,0.5327245029060594,1.2207925930329009,205.0016146471936,25.757575757575758
PULSE,15m,0.0,0.05,2289,2223,66,42.42424242424242,-3.3532783401646427,-3.1297407287542454,0.7359197877603971,462.4387539799866,25.757575757575758
PULSE,5m,0.0,0.0,2014,1941,73,39.726027397260275,4.748008361869053,-9.199076254184916,1.3914073554860003,234.26083413940768,42.465753424657535
PULSE,5m,0.0,0.01,2014,1941,73,39.726027397260275,0.07450996324979807,-11.3762262855399,1.004699165815356,398.4533791820961,42.465753424657535
PULSE,5m,0.0,0.02,2014,1941,73,36.986301369863014,-4.598988435369459,-15.25562054933876,0.7655109078000151,658.8130167935003,42.465753424657535
PULSE,5m,0.0,0.05,2014,1941,73,28.767123287671232,-18.61948363122723,-23.546102690605764,0.40087691644750734,1605.2442539812828,42.465753424657535
PULSE,15m,0.25,0.0,2301,2237,64,51.5625,0.924103675670263,2.7961605379336723,1.1192382604757454,128.62241944419674,23.4375
PULSE,15m,0.25,0.01,2301,2237,64,51.5625,-0.6117383019095859,1.9082244566197328,0.9288201772005646,170.41967299943397,23.4375
PULSE,15m,0.25,0.02,2301,2237,64,51.5625,-2.147580279489435,1.0202883753057939,0.772465239032769,247.42890811490753,23.4375
PULSE,15m,0.25,0.05,2301,2237,64,43.75,-6.7551062122289816,-2.4134265342789134,0.4419986018954945,485.35063048010517,23.4375
PULSE,5m,0.25,0.0,2125,2053,72,40.27777777777778,0.6827145960819063,-7.660454747155809,1.0585799627865542,207.51762299657193,38.888888888888886
PULSE,5m,0.25,0.01,2125,2053,72,38.888888888888886,-4.6205709277038665,-11.40667539715894,0.7148262501595044,476.4124363775297,38.888888888888886
PULSE,5m,0.25,0.02,2125,2053,72,37.5,-9.92385645148964,-12.841380448589655,0.5227192487219332,801.9523636203942,38.888888888888886
PULSE,5m,0.25,0.05,2125,2053,72,30.555555555555557,-25.83371302284696,-21.707100549999332,0.2557722610002465,1900.7681330631049,38.888888888888886
PULSE,15m,0.5,0.0,2301,2237,64,50.0,-1.8246021367622594,0.5732797140942348,0.7662600444019082,234.95528528268062,23.4375
PULSE,15m,0.5,0.01,2301,2237,64,50.0,-3.0346201797267414,-0.3925222926909664,0.6449163648174928,293.8838476496835,23.4375
PULSE,15m,0.5,0.02,2301,2237,64,50.0,-4.244638222691223,-1.3583242994761675,0.5429141872644825,352.81241001668633,23.4375
PULSE,15m,0.5,0.05,2301,2237,64,43.75,-7.874692351584669,-3.3578316730624542,0.31991683297859147,543.5010603230683,23.4375
PULSE,5m,0.5,0.0,2180,2110,70,42.857142857142854,-0.32858368631257623,-4.906247224576291,0.9703036056647687,203.56249457910744,37.142857142857146
PULSE,5m,0.5,0.01,2180,2110,70,41.42857142857143,-3.5537755726713356,-5.7077985986973285,0.7382490557941892,321.8619938206837,37.142857142857146
PULSE,5m,0.5,0.02,2180,2110,70,40.0,-6.7789674590300955,-7.906885225232543,0.5796744107324454,503.1262075795368,37.142857142857146
PULSE,5m,0.5,0.05,2180,2110,70,32.857142857142854,-16.454543118106375,-14.57061532396366,0.3128743115529912,1161.0419398796407,37.142857142857146
RTS,15m,0.0,0.0,54,15,39,2.5641025641025643,-17.307787826339457,-25.0,0.2894697629186959,700.0,97.43589743589743
RTS,15m,0.0,0.01,54,15,39,2.5641025641025643,-34.11649898727659,-35.93783366451399,0.16594984171493707,1330.5434605037874,97.43589743589743
RTS,15m,0.0,0.02,54,15,39,2.5641025641025643,-50.92521014821373,-46.87566732902798,0.1135772497340146,1986.083195780335,97.43589743589743
RTS,15m,0.0,0.05,54,15,39,2.5641025641025643,-101.35134363102513,-79.68916832256997,0.05356219882093458,3952.70240160998,97.43589743589743
RTS,5m,0.0,0.0,60,29,31,32.25806451612903,8.722009222266596,-25.0,1.515013877886218,200.0,67.74193548387096
RTS,5m,0.0,0.01,60,29,31,29.032258064516128,-1.5672296882553007,-27.931084170640332,0.9368356953890266,336.90799938938,67.74193548387096
RTS,5m,0.0,0.02,60,29,31,22.580645161290324,-11.856468598777198,-30.862168341280658,0.6408190455150771,608.141654062068,67.74193548387096
RTS,5m,0.0,0.05,60,29,31,19.35483870967742,-42.72418533034289,-39.65542085320164,0.275006574043213,1437.7429587964882,67.74193548387096
